Content Tab,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab
Details,104818,Summer Heights,Tortola,Edward Puglia,Mclaughlin Anderson,Sir Francis Drake Hwy Havers Hill East End Tortola British Virgin Islands VG1110,4756,Lifetime: 23 // $37912,Kristy Taylor (4/2016),-,All Clear,NO EYE: Property has never been inspected,-,Guest survey or other feedback received: ,-,-,-,-,-,-,104818,Summer Heights,Tortola,Edward Puglia,Mclaughlin Anderson,2003,-,-,20%,-,-,-,-,-,-,-,-,-,-,-,104818,Summer Heights,Tortola,Edward Puglia,Mclaughlin Anderson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104821,Toa Toa House,Tortola,Edward Puglia,Mclaughlin Anderson,Sir Francis Drake Highway Tortola Havers British Virgin Islands VG1130,4754,Lifetime: 26 // $40725,Michael Rassy (4/2016),-,All Clear,-,-,-,-,-,-,-,-,-,104821,Toa Toa House,Tortola,Edward Puglia,Mclaughlin Anderson,2003,-,-,20%,"50% Deposit, Full payment 50 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104821,Toa Toa House,Tortola,Edward Puglia,Mclaughlin Anderson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104829,Aurora,St. John,Edward Puglia,Catered To,Unnamed Road  St. John Great Cruz Bay USVI 00830,4753,Lifetime: 8 // $9021,Shane Handyside (11/2015),-,All Clear,Green: Good condition - no or minimal issues noticed,19-Mar-16,Welcome Inspection: inspection conducted the day of an arrival couple of hours prior to guest check-in: welcome:property is ok,-,-,-,-,-,-,104829,Aurora,St. John,Edward Puglia,Catered To,2003,-,100% non refundable,20%,"50% Deposit, Full payment 80 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104829,Aurora,St. John,Edward Puglia,Catered To,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104834,Villa Adagio,St. John,Edward Puglia,Catered To,Unnamed Road  St. John Great Cruz Bay USVI 00830,4752,Lifetime: 57 // $72876,Stephanie Johns (3/2016),-,All Clear,Green: Good condition - no or minimal issues noticed,23-Mar-16,Guest survey or other feedback received: advance: there were some repairs being done in the property but was guest ready for arrival.,-,-,-,-,-,-,104834,Villa Adagio,St. John,Edward Puglia,Catered To,2003,-,100% non refundable,20%,"50% Deposit, Full payment 80 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104834,Villa Adagio,St. John,Edward Puglia,Catered To,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104838,Seagrass Cottage,St. John,Edward Puglia,Catered To,Unnamed Road St. John Great Cruz Bay USVI 00830,4752,Lifetime: 16 // $30505,Shane Handyside (11/2015),-,QUALITY STANDARDS: Look before you book-maintenance issues. Waiting for updates from Home E. ETA END: UFN,Yellow: Minor villa condition issue(s) that can be controlled/fixed easily,09-Jan-16,Guest survey or other feedback received: welcome :all good,-,-,-,-,-,-,104838,Seagrass Cottage,St. John,Edward Puglia,Catered To,2003,-,100% non refundable,20%,"50% Deposit, Full payment 80 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104838,Seagrass Cottage,St. John,Edward Puglia,Catered To,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104841,Solaris,St. John,Edward Puglia,Catered To,Unnamed Road  St. John Chocolate Hole USVI 00830,4752,Lifetime: 22 // $19601,Vladimir de Baghy (4/2016),-,All Clear,-,-,-,-,-,-,-,-,-,104841,Solaris,St. John,Edward Puglia,Catered To,2003,-,100% non refundable,20%,"50% Deposit, Full payment 80 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104841,Solaris,St. John,Edward Puglia,Catered To,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104850,Beach Dreams,Virgin Gorda,Edward Puglia,Virgin Gorda Villa Rentals,Unnamed Road Virgin Gorda Mahoe Bay British Virgin Islands VG1150,4751,Lifetime: 20 // $62521,Laura Consolante (5/2016),-,All Clear,-,-,-,-,-,-,-,-,-,104850,Beach Dreams,Virgin Gorda,Edward Puglia,Virgin Gorda Villa Rentals,2003,-,40% non refundable if canceled within 65 days of arrival. 70% non refundable if canceled within 50 days of arrival,20%,"50% Deposit, Full payment 80 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104850,Beach Dreams,Virgin Gorda,Edward Puglia,Virgin Gorda Villa Rentals,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104851,Loblolly,Virgin Gorda,Edward Puglia,Virgin Gorda Villa Rentals,Unnamed Road  Virgin Gorda Mahoe Bay USVI VG1150,4751,Lifetime: 17 // $34436,Mark Fitzpatrick (1/2016),-,All Clear,NO EYE: Property has never been inspected,-,Guest survey or other feedback received: ,-,-,-,-,-,-,104851,Loblolly,Virgin Gorda,Edward Puglia,Virgin Gorda Villa Rentals,2003,-,40% non refundable if canceled within 65 days of arrival. 70% non refundable if canceled within 50 days of arrival,20%,"50% Deposit, Full payment 80 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104851,Loblolly,Virgin Gorda,Edward Puglia,Virgin Gorda Villa Rentals,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104852,Beachcomber,Virgin Gorda,Edward Puglia,Virgin Gorda Villa Rentals,North Sound Road  Virgin Gorda Mahoe Bay British Virgin Islands VG1150,4751,Lifetime: 25 // $56075,Richard Spence (4/2016),-,All Clear,NO EYE: Property has never been inspected,-,Guest survey or other feedback received: ,-,-,-,-,-,-,104852,Beachcomber,Virgin Gorda,Edward Puglia,Virgin Gorda Villa Rentals,2003,-,40% non refundable if canceled within 65 days of arrival. 70% non refundable if canceled within 50 days of arrival,20%,"50% Deposit, Full payment 80 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104852,Beachcomber,Virgin Gorda,Edward Puglia,Virgin Gorda Villa Rentals,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104860,Villa On The Beach,Virgin Gorda,Edward Puglia,Virgin Gorda Villa Rentals,Unnamed Road Virgin Gorda Mahoe Bay British Virgin Islands VG1150,4751,Lifetime: 46 // $92377,Richard Spence (3/2016),-,All Clear,-,-,-,-,-,-,-,-,-,104860,Villa On The Beach,Virgin Gorda,Edward Puglia,Virgin Gorda Villa Rentals,2003,-,40% non refundable if canceled within 65 days of arrival. 70% non refundable if canceled within 50 days of arrival,20%,"50% Deposit, Full payment 80 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104860,Villa On The Beach,Virgin Gorda,Edward Puglia,Virgin Gorda Villa Rentals,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104865,Wild Orchid,St. Lucia,Edward Puglia,Tropical Villas,4 Saline Point Gros Islet Cap Estate St. Lucia,4750,Lifetime: 8 // $21074,-,-,All Clear,-,-,-,-,-,-,-,-,-,104865,Wild Orchid,St. Lucia,Edward Puglia,Tropical Villas,2003,-,50% non refundable if canceled within 50 days of arrival,20%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104865,Wild Orchid,St. Lucia,Edward Puglia,Tropical Villas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104868,La Bagatelle,St. Lucia,Edward Puglia,Tropical Villas,Unnamed Road  Soufriere Val des Pitons St. Lucia 00124,4750,Lifetime: 43 // $30945,Sarah Marsden (3/2016),-,All Clear,Green: Good condition - no or minimal issues noticed,08-Nov-15,Guest survey or other feedback received: One toilet has stains inside,-,-,-,-,-,-,104868,La Bagatelle,St. Lucia,Edward Puglia,Tropical Villas,2003,-,50% non refundable if canceled within 50 days of arrival,20%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104868,La Bagatelle,St. Lucia,Edward Puglia,Tropical Villas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104869,Evergreen,Barbados,Edward Puglia,Realtors Luxury Villa Rentals,South Road Sandy Lane St. James Holetown Barbados BB24011,4750,Lifetime: 2 // $19097,-,-,All Clear,-,-,-,-,-,-,-,-,-,104869,Evergreen,Barbados,Edward Puglia,Realtors Luxury Villa Rentals,2003,-,20% non refundable if canceled within 95 days of arrival. 100% non refundable during holidays,20%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104869,Evergreen,Barbados,Edward Puglia,Realtors Luxury Villa Rentals,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104871,Cove Spring House,Barbados,Edward Puglia,BLUEWAY - Cove Spring,Highway 1B St. James The Garden Barbados BB24017,4750,Lifetime: 36 // $808384,James D'Silva (8/2015),-,All Clear,Green: Good condition - no or minimal issues noticed,14-Apr-16,Welcome Inspection: inspection conducted the day of an arrival couple of hours prior to guest check-in: Property in good condition,-,-,-,-,-,-,104871,Cove Spring House,Barbados,Edward Puglia,BLUEWAY - Cove Spring,2003,-,100% non refundable,20%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104871,Cove Spring House,Barbados,Edward Puglia,BLUEWAY - Cove Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104874,Joie de Vivre,St. Martin,Edward Puglia,BLUEWAY - Carimo,217 Joie De Vivre Collectivity of Saint Martin Les Terres-Basses St. Martin,698,Lifetime: 32 // $94621,Emma Guezen (4/2016),-,All Clear,Green: Good condition - no or minimal issues noticed,20-Jan-16,Advance Inspection: inspection conducted days or couple of weeks prior to an arrival: Good report: no issues. Carimo property.,-,-,-,-,-,-,104874,Joie de Vivre,St. Martin,Edward Puglia,BLUEWAY - Carimo,2003,-,35% non refundable if canceled within 60 days of arrival,20%,"50% Deposit, Full payment 110 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104874,Joie de Vivre,St. Martin,Edward Puglia,BLUEWAY - Carimo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104877,Antilles Pearl at Altamer,Anguilla,Edward Puglia,BLUEWAY - TEI Anguilla Villa Equities LLC,Unnamed Road Altamer Anguilla Shoal Bay West British West Indies AI-2640,692,Lifetime: 10 // $170406,-,-,All Clear,-,-,-,-,-,-,-,-,-,104877,Antilles Pearl at Altamer,Anguilla,Edward Puglia,BLUEWAY - TEI Anguilla Villa Equities LLC,2014,-,100% non refundable,20%,"50% Deposit, Full payment 85 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104877,Antilles Pearl at Altamer,Anguilla,Edward Puglia,BLUEWAY - TEI Anguilla Villa Equities LLC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104878,Villa Paradise,Anguilla,Edward Puglia,BLUEWAY - Ricketts,Unnamed Rd. Anguilla Blowing Point British West Indies AI-2640,4747,Lifetime: 10 // $101842,Mark Fitzpatrick (5/2016),-,All Clear,-,-,-,-,-,-,-,-,-,104878,Villa Paradise,Anguilla,Edward Puglia,BLUEWAY - Ricketts,2003,-,25% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,23%,"50% Deposit, Full payment 140 days prior to arrival during holiday season and 65 days prior to arrival during non holiday season",-,-,-,-,-,-,-,-,-,-,104878,Villa Paradise,Anguilla,Edward Puglia,BLUEWAY - Ricketts,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104879,Sea Villa,Anguilla,Edward Puglia,BLUEWAY - Properties in Paradise,Unnamed Road Anguilla Long Bay British West Indies AI-2640,4747,Lifetime: 5 // $38738,-,-,All Clear,-,-,-,-,-,-,-,-,-,104879,Sea Villa,Anguilla,Edward Puglia,BLUEWAY - Properties in Paradise,2003,-,25% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,23%,"50% Deposit, Full payment 140 days prior to arrival during holiday season and 65 days prior to arrival during non holiday season",-,-,-,-,-,-,-,-,-,-,104879,Sea Villa,Anguilla,Edward Puglia,BLUEWAY - Properties in Paradise,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104880,Sky Villa,Anguilla,Edward Puglia,BLUEWAY - Properties in Paradise,Unnamed Road  Anguilla Long Bay British West Indies AI-2640,4747,Lifetime: 2 // $41219,Emma Guezen (10/2015),-,All Clear,Green: Good condition - no or minimal issues noticed,26-Dec-15,Welcome Inspection: inspection conducted the day of an arrival couple of hours prior to guest check-in: welcome:all good,-,-,-,-,-,-,104880,Sky Villa,Anguilla,Edward Puglia,BLUEWAY - Properties in Paradise,2003,-,25% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,23%,"50% Deposit, Full payment 140 days prior to arrival during holiday season and 65 days prior to arrival during non holiday season",-,-,-,-,-,-,-,-,-,-,104880,Sky Villa,Anguilla,Edward Puglia,BLUEWAY - Properties in Paradise,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104881,Sand Villa,Anguilla,Edward Puglia,BLUEWAY - Properties in Paradise,Unnamed Road Anguilla Long Bay British West Indies AI-2640,4747,Lifetime: 9 // $66672,Kirsten Schneider (12/2015),-,All Clear,Orange: Impactful issues were noticed at the property that would require labor to be resolved,28-Jan-16,Guest survey or other feedback received: welcome VIP:all good,-,-,-,-,-,-,104881,Sand Villa,Anguilla,Edward Puglia,BLUEWAY - Properties in Paradise,2003,-,25% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,23%,"50% Deposit, Full payment 140 days prior to arrival during holiday season and 65 days prior to arrival during non holiday season",-,-,-,-,-,-,-,-,-,-,104881,Sand Villa,Anguilla,Edward Puglia,BLUEWAY - Properties in Paradise,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104899,Escapade,St. Martin,Edward Puglia,BLUEWAY - Carimo,555 Impasse Bele aux Acajoux Collectivity of Saint Martin Les Terres-Basses St. Martin 97150,4745,Lifetime: 55 // $72344,Julie Zefrani (1/2016),-,All Clear,Yellow: Minor villa condition issue(s) that can be controlled/fixed easily,27-Feb-16,Guest survey or other feedback received: Welcome Inspection: good report. no issues.,-,-,-,-,-,-,104899,Escapade,St. Martin,Edward Puglia,BLUEWAY - Carimo,2003,-,45% non refundable if canceled within 95 days of arrival; 70% non refundable if canceled within 35 days of arrival; 100% non refundable during holidays,20%,"50% Deposit, Full payment 110 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104899,Escapade,St. Martin,Edward Puglia,BLUEWAY - Carimo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104908,Marine Terrace,St. Martin,Edward Puglia,BLUEWAY - Carimo,7 Rue de la Falaise Collectivity of Saint Martin Les Terres-Basses St. Martin 97150,4745,Lifetime: 37 // $154180,Monica Allard (3/2016),-,All Clear,Green: Good condition - no or minimal issues noticed,08-Aug-15,Guest survey or other feedback received: ,-,-,-,-,-,-,104908,Marine Terrace,St. Martin,Edward Puglia,BLUEWAY - Carimo,2003,-,45% non refundable if canceled within 95 days of arrival; 70% non refundable if canceled within 35 days of arrival; 100% non refundable during holidays,20%,"50% Deposit, Full payment 110 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104908,Marine Terrace,St. Martin,Edward Puglia,BLUEWAY - Carimo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104926,Azur Reve,St. Martin,Edward Puglia,BLUEWAY - Carimo,Unnamed Road  St. Martin Hillside St. Martin 97000,4744,Lifetime: 27 // $35199,Monica Allard (2/2016),-,All Clear,Green: Good condition - no or minimal issues noticed,16-Jan-16,Guest survey or other feedback received: Carimo Report: no issues,-,-,-,-,-,-,104926,Azur Reve,St. Martin,Edward Puglia,BLUEWAY - Carimo,2003,-,45% non refundable if canceled within 95 days of arrival; 70% non refundable if canceled within 35 days of arrival; 100% non refundable during holidays,20%,"50% Deposit, Full payment 110 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104926,Azur Reve,St. Martin,Edward Puglia,BLUEWAY - Carimo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104937,Four Winds,Jamaica,Edward Puglia,BLUEWAY - Prendergast Real Estate,Unnamed Road  Saint Ann  Ocho Rios Jamaica JMCAN19,4743,Lifetime: 61 // $154299,James D'Silva (4/2016),-,All Clear,Green: Good condition - no or minimal issues noticed,25-Apr-16,"Advance Inspection: inspection conducted days or couple of weeks prior to an arrival: advance:property is in good condition, no welcome manual and minor peeling paint areas but owner /staff are aware and will be repaired.",-,-,-,-,-,-,104937,Four Winds,Jamaica,Edward Puglia,BLUEWAY - Prendergast Real Estate,2003,-,40% non refundable if canceled within 95 days of arrival. 100% non refundable during holidays,20%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104937,Four Winds,Jamaica,Edward Puglia,BLUEWAY - Prendergast Real Estate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104940,Sweet Spot,Jamaica,Edward Puglia,BLUEWAY - Prendergast Real Estate,Unnamed road off of A1 Cardiff Hall Saint Ann Parish Runaway Bay Jamaica JMCAN00,4743,Lifetime: 55 // $147096,Kathleen Moshonas (4/2016),-,All Clear,Green: Good condition - no or minimal issues noticed,05-Mar-16,Welcome Inspection: inspection conducted the day of an arrival couple of hours prior to guest check-in: welcome:all good,-,-,-,-,-,-,104940,Sweet Spot,Jamaica,Edward Puglia,BLUEWAY - Prendergast Real Estate,2003,-,40% non refundable if canceled within 95 days of arrival. 100% non refundable during holidays,20%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104940,Sweet Spot,Jamaica,Edward Puglia,BLUEWAY - Prendergast Real Estate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104942,Keela Wee on Discovery Bay,Jamaica,Edward Puglia,BLUEWAY - Prendergast Real Estate,Fortlands Road Saint Ann Parish Discovery Bay Jamaica JMCAN00,4743,Lifetime: 11 // $34537,Dominic Lachapelle (6/2015),-,All Clear,Yellow: Minor villa condition issue(s) that can be controlled/fixed easily,16-Jan-16,"Welcome Inspection: inspection conducted the day of an arrival couple of hours prior to guest check-in: welcome:sheets,pillows,towels need to be updated, no toiletries provided",-,-,-,-,-,-,104942,Keela Wee on Discovery Bay,Jamaica,Edward Puglia,BLUEWAY - Prendergast Real Estate,2003,-,40% non refundable if canceled within 95 days of arrival. 100% non refundable during holidays,20%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104942,Keela Wee on Discovery Bay,Jamaica,Edward Puglia,BLUEWAY - Prendergast Real Estate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104944,Sea Grapes on Discovery Bay,Jamaica,Edward Puglia,BLUEWAY - Prendergast Real Estate,Unnamed Road Saint Ann  Discovery Bay Jamaica JMDWD14,4740,Lifetime: 23 // $44879,Levi Hoffman (4/2016),-,"QUALITY STANDARDS: Villa needs updates, awaiting updates from Home E. ETA END: UFN",Yellow: Minor villa condition issue(s) that can be controlled/fixed easily,11-Nov-15,"Guest survey or other feedback received: -bed pillows had mildew
-lamp shades were dirty and some had rust
-louvers were dusty
-screen was dirty
-one sink was leaking and had water accumulated underneath
-2 chairs stained
-some furniture old and can tell it has been repainted, some paint chipped",-,-,-,-,-,-,104944,Sea Grapes on Discovery Bay,Jamaica,Edward Puglia,BLUEWAY - Prendergast Real Estate,2003,-,40% non refundable if canceled within 95 days of arrival. 100% non refundable during holidays,15%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104944,Sea Grapes on Discovery Bay,Jamaica,Edward Puglia,BLUEWAY - Prendergast Real Estate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104946,Sugar Bay on Discovery Bay,Jamaica,Edward Puglia,BLUEWAY - Prendergast Real Estate,Unnamed Road  Saint Ann  Discovery Bay Jamaica JMDWD14,4740,Lifetime: 33 // $80102,Kristy Taylor (3/2016),-,All Clear,Green: Good condition - no or minimal issues noticed,27-Feb-16,Welcome Inspection: inspection conducted the day of an arrival couple of hours prior to guest check-in: welcome:all good,-,-,-,-,-,-,104946,Sugar Bay on Discovery Bay,Jamaica,Edward Puglia,BLUEWAY - Prendergast Real Estate,2003,-,40% non refundable if canceled within 95 days of arrival. 100% non refundable during holidays,15%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104946,Sugar Bay on Discovery Bay,Jamaica,Edward Puglia,BLUEWAY - Prendergast Real Estate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
